"COU","Country","VAR","Variable","MEA","Measure","ISIC4","ISIC4","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2011-Q1","Q1-2011","IDX","Index","0","Units",,,59.9688415527344,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2011-Q2","Q2-2011","IDX","Index","0","Units",,,58.3248443603516,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2011-Q3","Q3-2011","IDX","Index","0","Units",,,56.2604637145996,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2011-Q4","Q4-2011","IDX","Index","0","Units",,,55.3354187011719,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2012-Q1","Q1-2012","IDX","Index","0","Units",,,54.0448989868164,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2012-Q2","Q2-2012","IDX","Index","0","Units",,,51.9216957092285,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2012-Q3","Q3-2012","IDX","Index","0","Units",,,50.283390045166,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2012-Q4","Q4-2012","IDX","Index","0","Units",,,49.5296745300293,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2013-Q1","Q1-2013","IDX","Index","0","Units",,,49.8198738098145,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2013-Q2","Q2-2013","IDX","Index","0","Units",,,50.4521751403809,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2013-Q3","Q3-2013","IDX","Index","0","Units",,,50.534725189209,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2013-Q4","Q4-2013","IDX","Index","0","Units",,,49.8284568786621,,
"CAN","Canada","BANKRUPTCIES","Number of bankruptcies","INDEX","Index 2007=100","01_99","Grand Total","2014-Q1","Q1-2014","IDX","Index","0","Units",,,49.1692276000977,,
